nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment,study_duration_days
NCT05827094,Pilot Evaluation of a Mobile Intervention to Support Mediterranean Diet (MedD) for Persons With Mild Alzheimer Disease and Alzheimer Disease Related Dementia's (AD/ADRD) and Frailty,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,,,19.0,792.0
NCT04372836,Effect of Vasopressin Injection Technique in Laparoscopic Excision of Unilateral Ovarian Endometriomas on Ovarian Reserve: Prospective Randomized Study,UNKNOWN,INTERVENTIONAL,PROCEDURE,['NA'],1,,2021-08-01,76.0,792.0
NCT02065752,"A Single-Dose, Open-Label, Randomized, 3-Way Crossover Pivotal Study to Assess the Bioequivalence of the Fixed Dose Combination Tablets of Canagliflozin and Metformin Extended Release (XR) (2 x 50 mg/500 mg) With Respect to the Individual Components of Canagliflozin (1 x 100 mg) and Metformin XR Tablet (2 x 500 mg) in Healthy Fed Subjects",COMPLETED,INTERVENTIONAL,DRUG,['PHASE1'],1,2014-02-01,2014-04-01,2.0,59.0
NCT06595225,"Lifestyle and Nutrition Intervention for Patients Living with HIV Attending an Outpatient Clinic in Dubai, UAE",COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,,,63.0,792.0
NCT06207838,"Transition of T1DM Patients Aged Over 65 Years Into AHCL (780G) Insulin Pump: the Impact on Glucose Patterns, Quality of Life Physical & Cognitive Measures, as Well as Vascular Status",UNKNOWN,INTERVENTIONAL,DEVICE,['NA'],1,,,30.0,792.0
NCT02029846,Glycemia in Diabetic Elders Trial,TERMINATED,INTERVENTIONAL,DRUG,['PHASE4'],1,2013-04-01,2017-02-01,2.0,1402.0
NCT00184613,"An Open-label, Randomised, In-patient, Cross Over PK/PD Trial Investigating the Pharmackinectic and Pharmacodynamic Profiles Following Continuous Subcutaneous Infusion of Insulin Aspart or Injection of Insulin Glargine in Subjects With Type 2 Diabetes Mellitus",COMPLETED,INTERVENTIONAL,DEVICE,['PHASE1'],1,2005-05-01,2006-01-01,22.0,245.0
NCT05305287,Quantitation of Hepatic Mitochondrial Fluxes in Humans With Nonalcoholic Fatty Liver Disease (NAFLD),RECRUITING,INTERVENTIONAL,DRUG,['PHASE4'],2,,,60.0,792.0
NCT02531035,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study to Evaluate the Net Clinical Benefit of Sotagliflozin as Adjunct to Insulin Therapy in Type 1 Diabetes",COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],135,2015-09-01,2017-04-01,1405.0,578.0
NCT01452152,"Pharmacogenomics of Anti-platelet Intervention-2 (PAPI-2) Study: A Prospective, Multicenter, Randomized Trial of Genotype-directed (G-D)Versus Standard of Care (SOC)Anti-platelet Therapy",TERMINATED,INTERVENTIONAL,DRUG,['PHASE4'],5,2012-02-01,2013-07-01,9.0,516.0
NCT00001984,Tolerance Induction Following Human Renal Transplantation Using Treatment With a Humanized Monoclonal Antibody Against CD52 (Campath-1H),COMPLETED,INTERVENTIONAL,DRUG,['PHASE2'],1,1999-11-01,2008-06-01,5.0,3135.0
NCT02737722,"A Phase I/IIa, Randomized Double Blind, Placebo-Controlled, Dose Escalating Study to Evaluate the Safety and Tolerability of Topically Applied Bisphosphocin Nu-3 on Infected Diabetic Ulcers of Subjects With Type I or II Diabetes Mellitus",COMPLETED,INTERVENTIONAL,DRUG,"['PHASE1', 'PHASE2']",3,2016-04-01,2018-02-01,31.0,671.0
NCT01863667,"A Phase III, Multicenter, Double-Blind, Randomized Trial to Evaluate the Safety and Efficacy of MK-3102 Compared With Glimepiride in Subjects With Type 2 Diabetes Mellitus For Whom Metformin is Inappropriate Due to Intolerance or Contraindication",TERMINATED,INTERVENTIONAL,DRUG,['PHASE3'],0,,,65.0,792.0
NCT00810992,Behavioral and Nutritional Therapy in Patients With Coronary Artery Disease According to Traditional Tibetan Medicine Protocol,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,2009-01-01,2011-04-01,524.0,820.0
NCT00263835,A Self-care Intervention for Latino Adults With Diabetes,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['PHASE2'],0,2004-10-01,2006-05-01,300.0,577.0
NCT00676767,Resistant Starch Type 4 on the Glycemic Response in Older Adults,COMPLETED,INTERVENTIONAL,DIETARY_SUPPLEMENT,['NA'],1,2006-08-01,2006-11-01,9.0,92.0
NCT07357740,A Phase 2 Study to Compare Two Presentations of CagriSema in Participants With Type 2 Diabetes,NOT_YET_RECRUITING,INTERVENTIONAL,DRUG,['PHASE2'],61,,,400.0,792.0
NCT04678661,My Dose Coach Titration and Maintenance in Patients With Type 2 Diabetes Mellitus on Basal Insulin,TERMINATED,INTERVENTIONAL,DEVICE,['NA'],1,,,60.0,792.0
NCT02933788,Effect of aSpirin Versus CilOstazol for Inhibition of Antiplatelet aggRegaTion in Type 2 DM Patients,UNKNOWN,INTERVENTIONAL,DRUG,['PHASE4'],0,2016-10-01,2018-12-01,116.0,791.0
NCT00477581,"A Randomized, Double-Blind, Crossover Study to Compare the Effects of Exenatide and Sitagliptin on Postprandial Glucose in Subjects With Type 2 Diabetes Mellitus",COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],19,2007-05-01,2007-09-01,102.0,123.0
NCT01240252,"Molecular Regulation of Muscle Glucose Metabolism in Man, Protocol 4",COMPLETED,INTERVENTIONAL,DRUG,['PHASE1'],1,2012-03-01,2012-07-01,14.0,122.0
NCT06694935,A Phase 1b Study of QX1206 in Type 2 Diabetes Mellitus (T2DM) Patients With Non-Alcoholic Fatty Liver Disease (NAFLD),RECRUITING,INTERVENTIONAL,DRUG,['PHASE1'],1,,2025-12-01,52.0,792.0
NCT00854503,,COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],1,2008-09-01,2010-12-01,30.0,821.0
NCT00824694,Impact of Accu-Chek 360 View on Practice Patterns and HBA1C in Veterans With Type 2 Diabetes.,COMPLETED,INTERVENTIONAL,OTHER,['NA'],3,2009-03-01,2010-05-01,348.0,426.0
NCT03717688,The Effects of Neprilysin on Glucagon-like Peptide-1,COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],1,,,19.0,792.0
NCT04796428,"Intraclass Safety and Efficacy Comparison Among SGLT-2 Inhibitors in Elderly Patients With Type 2 Diabetes. A Pragmatic, Phase IV, Multicenter, Open-label, Randomised Controlled Trial.",UNKNOWN,INTERVENTIONAL,DRUG,['PHASE4'],0,,,1167.0,792.0
NCT00510952,The PERSISTENT Trial: A Prospective Randomized Trial Comparing Insulin Lispro Protamine Suspension to Insulin Glargine in Patients With Type 2 Diabetes on Anti-hyperglycemic Medications,COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],17,2007-08-01,2008-10-01,471.0,427.0
NCT00188630,"The PRIME (Perioperative Renal Insufficiency Management) Study: A Randomized, Double-blinded, Placebo-controlled Trial of N-acetylcysteine for Preventing Renal Injury After Cardiac Surgery.",COMPLETED,INTERVENTIONAL,DRUG,['PHASE3'],1,2003-07-01,2007-07-01,176.0,1461.0
